"标题","发布时间","链接","摘要","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年首个核聚变大会来了！行业加速迈向工程可行 资本开支扩张可期","2026年01月04日 08:26","https://finance.eastmoney.com/a/202601043607773131.html","【2026年首个核聚变大会来了！行业加速迈向工程可行 资本开支扩张可期】2026核聚变能科技与产业大会将于2026年1月16日至17日在安徽合肥举办。此次大会将...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"交通运输部：推动交通运输公共数据与企业数据融合应用","2026年01月04日 09:24","https://finance.eastmoney.com/a/202601043607779431.html","【交通运输部：推动交通运输公共数据与企业数据融合应用】交通运输部发布《关于加快交通运输公共数据资源开发利用的实施意见》。其中提出，推动跨行业数据融合应用。围绕服务公众出行、保通保畅、物流降本增效、多式...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"交通运输部：充分利用国家枢纽节点算力资源 加强行业高质量算力资源供给","2026年01月04日 09:23","https://finance.eastmoney.com/a/202601043607779010.html","【交通运输部：充分利用国家枢纽节点算力资源 加强行业高质量算力资源供给】交通运输部发布《关于加快交通运输公共数据资源开发利用的实施意见》。其中提出，加强数据基础服务能力建设。依托国家综合交通运输信息平...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"中国央行今日开展365亿元7天逆回购操作","2026年01月04日 09:23","https://finance.eastmoney.com/a/202601043607778993.html","中国央行今日开展365亿元7天逆回购操作，投标量365亿元，中标量365亿元，操作利率为1.40%，与此前持平。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"债市早参1月4日|公募基金费率改革落地，债市有望“开门红”；商业不动产REITs试点正式实施","2026年01月04日 09:01","https://finance.eastmoney.com/a/202601043607779357.html","债市要闻【国家发改委：近日下达了2026年提前批两重建设项目清单和中央预算内投资计划共计约2950亿元】国家发改委政策研究室副主任、新闻发言人李超12月31日在新闻发布会上表示，2026年以更大力度稳...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"深圳大学智算中心启动 超强算力赋能科研教学与交叉创新","2026年01月04日 09:01","https://finance.eastmoney.com/a/202601043607776352.html","【深圳大学智算中心启动 超强算力赋能科研教学与交叉创新】日前，深圳大学智算中心启动仪式在粤海校区汇研楼举行。该中心的正式启动标志着深圳大学在夯实高性能算力底座、推进“双一流”建设及迈向世界一流创新型...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"元旦假期深圳累计接待游客311.64万人次","2026年01月04日 08:59","https://finance.eastmoney.com/a/202601043607776116.html","【元旦假期深圳累计接待游客311.64万人次】元旦假期，深圳文旅市场产品升级、场景创新、业态融合，为市民、游客奉上一场场精彩纷呈的节日盛宴。全市累计接待游客311.64万人次，日均同比增长32.3%；...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"四川：2亿元奖励平台经济 重点面向电商企业和个人","2026年01月04日 08:54","https://finance.eastmoney.com/a/202601043607775985.html","【四川：2亿元奖励平台经济 重点面向电商企业和个人】2025年12月31日，记者从省商务厅获悉，为加快推动四川平台经济（以电商为重点）产业链建圈强链，《关于支持平台经济（以电商为重点）产业链高质量发展...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"四川：三年行动攻关“人工智能＋” 推动全省规上工业企业数字化转型全覆盖","2026年01月04日 08:53","https://finance.eastmoney.com/a/202601043607775823.html","【四川：三年行动攻关“人工智能＋” 推动全省规上工业企业数字化转型全覆盖】记者从省经信厅获悉，四川省人工智能赋能新型工业化三年行动方案近日印发，提出强化智能化技术科技创新、促进智能产品研发升级等5大重...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"一般诊疗费和诊查费有什么区别 基层医疗机构到底该怎么收费？","2026年01月04日 08:47","https://finance.eastmoney.com/a/202601043607775453.html","【一般诊疗费和诊查费有什么区别 基层医疗机构到底该怎么收费？】公立基层医疗机构是基本医疗服务体系的重要组成部分，包含社区卫生服务中心、乡镇卫生院、村卫生室等，其诊疗量占全部诊疗量比例一直保持在50%以...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"截至1月3日17时 元旦假期海南出入境客流同比增长23.5%","2026年01月04日 08:35","https://finance.eastmoney.com/a/202601043607773685.html","【截至1月3日17时 元旦假期海南出入境客流同比增长23.5%】封关后首个元旦假期，海南自贸港出入境旅游客流持续攀升。记者从海口出入境边防检查总站获悉，截至1月3日17时，海南共验放出入境人员2.8万...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
